PUID_SIX,ACADEMIC_PERIOD,ACADEMIC_PERIOD_DESC,COURSE_IDENTIFICATION,COURSE_REFERENCE_NUMBER,Prior_Overall_GPA_Term,Prior_Overall_Term_Desc,Prior_Overall_GPA_Term_Level,Prior_Term_Overall_GPA
349695,202210,Fall 2021,PHYS17200,21307,,,,
349720,202210,Fall 2021,PHYS17200,26930,,,,
349734,202210,Fall 2021,PHYS17200,26979,,,,
349807,202210,Fall 2021,PHYS17200,26931,,,,
349813,202210,Fall 2021,PHYS17200,37253,,,,
349842,202210,Fall 2021,PHYS17200,26931,,,,
349843,202210,Fall 2021,PHYS22000,27017,,,,
349858,202210,Fall 2021,PHYS17200,37253,,,,
349859,202210,Fall 2021,PHYS17200,26930,,,,
349884,202210,Fall 2021,PHYS17200,26931,,,,
349906,202210,Fall 2021,PHYS17200,37253,,,,
349915,202210,Fall 2021,PHYS17200,37254,,,,
350062,202210,Fall 2021,PHYS22000,10333,,,,
350123,202210,Fall 2021,PHYS17200,26930,,,,
350138,202210,Fall 2021,PHYS17200,26931,,,,
350148,202210,Fall 2021,PHYS17200,37254,,,,
350205,202210,Fall 2021,PHYS17200,26931,,,,
350216,202210,Fall 2021,PHYS17200,26979,,,,
350217,202210,Fall 2021,PHYS17200,37253,,,,
350265,202210,Fall 2021,PHYS17200,37254,,,,
350321,202210,Fall 2021,PHYS17200,37254,,,,
350424,202210,Fall 2021,PHYS17200,21307,,,,
350435,202210,Fall 2021,PHYS17200,26979,,,,
350603,202210,Fall 2021,PHYS17200,37254,,,,
350652,202210,Fall 2021,PHYS17200,37254,,,,
350684,202210,Fall 2021,PHYS17200,26979,,,,
350712,202210,Fall 2021,PHYS17200,37254,,,,
350772,202210,Fall 2021,PHYS17200,37254,,,,
350785,202210,Fall 2021,PHYS17200,26931,,,,
350788,202210,Fall 2021,PHYS17200,26931,,,,
350877,202210,Fall 2021,PHYS17200,37253,,,,
350888,202210,Fall 2021,PHYS17200,26930,202120,Spring 2021,Undergraduate,4
350954,202210,Fall 2021,PHYS17200,26931,,,,
350996,202210,Fall 2021,PHYS17200,37253,,,,
351006,202210,Fall 2021,PHYS17200,26931,,,,
